title price
"Mối Tình 2D" 70500
"Xách Ba Lô Lên Và Đi - Tập 2 - Đừng Chết Ở Châu Phi" 74250
"Cuộc Chiến Tình Tiền" 93600
"Dạ Khúc" 20000
"Tê Dại" 47450
"Hành Trình Tình Yêu" 64970
"Không Còn Cô Gái Đáng Để Yêu" 53290
"Số 31 Đường Giấc Mơ" 66430
"Một Kiếp Lênh Đênh" 36500
"Thành Phố Hoang Vắng" 97020
"Giông Tố" 51750
"Lỡ Tay Chạm Ngực Con Gái" 23100
"Cô Gái Chọc Tổ Ong Bầu" 115500
"Nanh Trắng" 43800
"Oliver Twist " 83950
"Trên Sa Mạc Và Trong Rừng Thẳm" 65700
"Mét Vuông Tình Yêu" 54000
Heidi 41610
"Ngựa Ô Yêu Dấu" 44000
"Sự Tích Các Loài Vật" 26280
"Ngai Vàng Lửa" 93750
"Môi Hồng Tuổi Xuân Phai" 102960
"Hàng Đã Nhận, Miễn Trả Lại" 103950
"Tìm Lại Cái Tôi Đã Mất " 42250
"Trên Sa Mạc Và Trong Rừng Thẳm (Bộ 2 quyển)" 57850
"Thiên Tài" 86400
"Cánh Cửa Mở Rộng - Báo Ứng " 73800
"Tay Lái Súng Đa Cảm" 84000
"Bên Kia Đường Có Đứa Dở Hơi" 49640
"Trò Chơi Vương Quyền - Tập 3A: Sự Trở Lại Của Ngoại Nhân" 
"Cô Đơn Trên Mạng" 125600
"Ký Ức Độc Quyền" 97020
"Bãi Vàng, Đá Quý, Trầm Hương" 69700
"Đông Cung" 97020
"Tình Yêu Nơi Đâu  - Tập 2" 94170
"Trò Chơi Vương Quyền - Tập 3B: Nước Mắt Sói Tuyết" 116220
"Điệu Slow Trong Thang Máy" 78400
"Để Thành Nhà Văn" 24000
"Húng Nhại" 72000
"Người Đàn Ông Mỹ Cuối Cùng" 72000
"100 Truyện Đặc Sắc Đó Đây" 97500
"Em Khấn Cho Giời Mưa To Hơn" 32760
"Túp Lều Bác Tom" 55900
"Hoa Tư Dẫn" 104250
"Tiểu Thuyết Động vật - Hầu Phi Tâm Kế" 75240
"Thuốc Độc Của Người, Kẹo Ngọt Của Tôi" 83930
"Phù Phiếm Truyện" 36900
"Hòn Đất" 57670
"10 Huyền Thoại Viking Hay Nhất Mọi Thời Đại" 56580
"Am Mây Ngủ (2016)" 68000
"Lâu Đài Gỗ" 75460
"Sự Cám Dỗ Của Tình Yêu - The Lure Of Love" 88500
"Tình Yêu Phiêu Bạt ở Bắc Kinh" 80850
"Thời Gian Hoa Nở" 68530
"Tôi Thấy Hoa Vàng Trên Cỏ Xanh" 65600
"Kính Vạn Hoa Tập 4 (2012)" 
"Kính Vạn Hoa Tập 6 (2012)" 86900
"Hai Vạn Dặm Dưới Biển" 55480
"Nơi Ánh Đèn Rực Rỡ" 65700
"Em Không Vào Địa Ngục Thì Ai Vào?" 
"Chạm Yêu" 68640
"Kiếm Chồng Đại Gia" 72270
"Khát Vọng Từ Trái Tim " 48360
"Tôi Không Phải Là Thiên Tài" 73000
"Thăng Long Nỗi Niềm Sông Núi Hồ Chí Minh Hương ..." 
"Cuộc Chiến Mẹ Chồng Nàng Dâu" 60000
"Vấn Vương Đến Chết" 54600
"Tạp Bút Năm Quí Dậu 1993 " 123000
"Mặt Nạ - Treo Gương Trong Phòng Ngủ" 40000
"Bắt Lửa" 68800
"Cung Đường Vàng Nắng" 64000
"Trả Lại Nụ Hôn" 44550
"Đen Trắng" 103950
"Nổi Danh Vang Dội - Julius Caesar Và Những Người Bạn Xấu Xa" 44280
"An Nhiên Mà Sống" 38500
"Bức Thư Của Người Đàn Bà Không Quen" 66000
"Người Đi Bán Nắng (Tái Bản 2015)" 50370
"50 Sắc Thái - Tập 4" 134250
"Nanh Trắng (Tái Bản 2015)" 70500
"Trà Hoa Nữ" 39000
"Pegasus - Tập 1 - Lửa Thần Xứ Olympus " 
"Mật Mã Thanh Minh Thượng Hà -Tập 1" 98550
"Hẹn Với Thần Chết" 77900
"Những Chiếc Đồng Hồ Kỳ Lạ" 87740
"John Đi Tìm Hùng" 50400
"Dưới Ánh Trăng Ấm Áp" 
"Tự Yêu" 46800
"Hoa Tuylip Đen" 39000
